Samples	SBS96A	SBS96B	SBS96C
TCGA-78-7536	5.13E+00	5.35E+00	8.01E-01
TCGA-78-7537	1.66E+00	1.80E+00	6.25E-01
TCGA-78-7539	1.75E+00	1.90E+00	1.99E+00
TCGA-78-7540	5.80E-01	6.35E-01	3.28E-01
TCGA-78-7542	3.05E+00	3.06E+00	1.09E+00
TCGA-78-7633	1.17E+00	1.10E+00	5.12E-01
TCGA-78-8640	5.15E+00	5.09E+00	1.88E+00
TCGA-78-8648	2.85E-01	2.85E-01	0.00E+00
TCGA-78-8655	8.40E-01	8.70E-01	4.96E-01
TCGA-78-8660	1.96E+00	2.07E+00	1.02E+00
TCGA-78-8662	1.01E+01	1.01E+01	1.70E+00
TCGA-80-5607	3.94E-01	9.28E-01	8.97E-01
TCGA-80-5608	1.42E+00	1.56E+00	5.07E-01
TCGA-80-5611	1.51E+00	1.55E+00	7.09E-01
TCGA-83-5908	1.66E+00	1.42E+00	1.19E+00
TCGA-86-6562	4.37E-01	7.43E-01	7.02E-01
TCGA-86-6851	7.99E+00	8.11E+00	1.67E+00
TCGA-86-7701	1.85E+00	1.93E+00	5.26E-01
TCGA-86-7711	2.80E+00	2.37E+00	1.51E+00
TCGA-86-7713	2.60E+00	2.62E+00	7.35E-01
TCGA-86-7714	9.48E-01	9.66E-01	3.31E-01
TCGA-86-7953	5.21E-01	5.63E-01	4.25E-01
TCGA-86-7954	1.59E+00	1.50E+00	9.90E-01
TCGA-86-7955	2.41E+00	2.36E+00	9.74E-01
TCGA-86-8054	2.11E+00	2.17E+00	7.06E-01
TCGA-86-8055	3.12E-01	5.09E-01	4.26E-01
TCGA-86-8056	1.38E+00	1.46E+00	1.41E+00
TCGA-86-8073	1.29E+01	1.29E+01	1.83E+00
TCGA-86-8074	5.05E-01	5.94E-01	4.45E-01
TCGA-86-8075	1.75E-01	5.72E-01	5.62E-01
TCGA-86-8076	5.69E-01	6.24E-01	7.01E-01
TCGA-86-8278	1.14E-01	9.62E-01	9.64E-01
TCGA-86-8279	4.69E+00	4.68E+00	8.17E-01
TCGA-86-8280	4.03E-01	4.88E-01	3.70E-01
TCGA-86-8281	1.90E+00	1.69E+00	8.94E-01
TCGA-86-8358	1.03E+01	1.04E+01	1.20E+00
TCGA-86-8359	1.65E+00	1.62E+00	6.27E-01
TCGA-86-8585	4.29E+00	4.35E+00	1.60E+00
TCGA-86-8668	4.00E-02	3.69E-01	3.62E-01
TCGA-86-8669	1.09E+00	9.98E-01	6.79E-01
TCGA-86-8671	3.15E-02	5.24E-01	5.22E-01
TCGA-86-8672	2.21E+00	2.03E+00	1.14E+00
TCGA-86-8673	4.12E+00	4.24E+00	1.13E+00
TCGA-86-8674	2.63E+00	2.54E+00	8.35E-01
TCGA-86-A456	3.19E+00	3.29E+00	8.45E-01
TCGA-86-A4JF	3.20E+00	4.14E+00	5.00E+00
TCGA-86-A4P7	2.57E-01	7.64E-01	7.33E-01
TCGA-86-A4P8	6.29E-02	6.29E-02	0.00E+00
TCGA-91-6828	4.03E+00	3.98E+00	1.35E+00
TCGA-91-6829	5.31E+00	5.05E+00	1.18E+00
TCGA-91-6830	1.09E+00	8.37E-01	1.11E+00
TCGA-91-6831	2.26E+00	2.30E+00	6.94E-01
TCGA-91-6835	7.08E-01	7.89E-01	5.10E-01
TCGA-91-6836	4.20E+00	4.32E+00	9.31E-01
TCGA-91-6840	7.57E-01	9.15E-01	1.05E+00
TCGA-91-6847	6.04E-01	7.31E-01	6.24E-01
TCGA-91-6848	4.32E+00	4.27E+00	1.21E+00
TCGA-91-6849	1.21E+00	1.22E+00	6.18E-01
TCGA-91-7771	1.51E+00	1.69E+00	9.32E-01
TCGA-91-8496	2.12E-01	4.35E-01	4.01E-01
TCGA-91-8497	4.23E-01	5.18E-01	4.53E-01
TCGA-91-8499	2.01E+00	1.92E+00	1.23E+00
TCGA-91-A4BC	4.17E+00	4.11E+00	8.51E-01
TCGA-91-A4BD	0.00E+00	2.00E-01	2.00E-01
TCGA-93-7347	1.19E+00	1.11E+00	4.46E-01
TCGA-93-7348	1.46E+00	1.43E+00	1.03E+00
TCGA-93-8067	1.26E+00	1.25E+00	1.60E+00
TCGA-93-A4JN	5.19E-01	7.60E-01	5.78E-01
TCGA-93-A4JO	3.45E-01	6.20E-01	5.64E-01
TCGA-93-A4JP	5.15E-01	7.71E-01	7.19E-01
TCGA-93-A4JQ	2.33E-01	9.42E-01	9.59E-01
TCGA-95-7039	1.12E+01	1.13E+01	1.62E+00
TCGA-95-7043	9.39E+00	9.74E+00	1.62E+00
TCGA-95-7562	3.52E+00	3.75E+00	7.16E-01
TCGA-95-7567	3.04E+00	2.54E+00	1.44E+00
TCGA-95-7944	7.55E-01	5.20E-01	7.52E-01
